lang,lang_group,model_id,model_family,treebank,split,deprel,layer,head,direction,mean_attention,std_attention,n_arcs
pt,romanico,neuralmind/bert-large-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,1,1,head_to_dep,0.019577981106677998,0.012213030157224199,1115
pt,romanico,neuralmind/bert-large-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,1,1,dep_to_head,0.02359014581659216,0.015390395193632906,1115
pt,romanico,neuralmind/bert-large-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,1,2,head_to_dep,0.055336923735015794,0.052152975392339845,1115
pt,romanico,neuralmind/bert-large-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,1,2,dep_to_head,0.06603180483263403,0.05532414407307491,1115
pt,romanico,neuralmind/bert-large-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,1,3,head_to_dep,0.07839506962307236,0.07683891384514732,1115
pt,romanico,neuralmind/bert-large-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,1,3,dep_to_head,0.07010820093225362,0.06874507826949684,1115
pt,romanico,neuralmind/bert-large-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,1,4,head_to_dep,0.05646989782395117,0.052098889769506315,1115
pt,romanico,neuralmind/bert-large-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,1,4,dep_to_head,0.05591824175121739,0.050604467175450564,1115
pt,romanico,neuralmind/bert-large-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,1,5,head_to_dep,0.05413876165690176,0.045027922923894764,1115
pt,romanico,neuralmind/bert-large-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,1,5,dep_to_head,0.048170967689911616,0.03645523055937412,1115
pt,romanico,neuralmind/bert-large-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,1,6,head_to_dep,0.03838285312208978,0.03136795400638202,1115
pt,romanico,neuralmind/bert-large-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,1,6,dep_to_head,0.0411571729665146,0.032087737644278545,1115
